stage: scanning
Token: CLASS | Valor: class | Línea: 2 | Columna: 2 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 25 | Columna: 16 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 25 | Columna: 17 | Tipo: reservada
Token: FOR | Valor: for | Línea: 26 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 26 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 26 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 26 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 26 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 26 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 26 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 26 | Columna: 26 | Tipo: no reservada
Token: LE | Valor: <= | Línea: 26 | Columna: 28 | Tipo: reservada
Token: ID | Valor: limit | Línea: 26 | Columna: 31 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 26 | Columna: 36 | Tipo: reservada
Token: ID | Valor: i | Línea: 26 | Columna: 38 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 26 | Columna: 40 | Tipo: reservada
Token: ID | Valor: i | Línea: 26 | Columna: 42 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 26 | Columna: 44 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 26 | Columna: 46 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 26 | Columna: 47 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 26 | Columna: 49 | Tipo: reservada
Token: ID | Valor: sum | Línea: 27 | Columna: 14 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 27 | Columna: 18 | Tipo: reservada
Token: ID | Valor: sum | Línea: 27 | Columna: 20 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 27 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 27 | Columna: 26 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 27 | Columna: 27 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 28 | Columna: 10 | Tipo: reservada
Token: RETURN | Valor: return | Línea: 29 | Columna: 10 | Tipo: reservada
Token: ID | Valor: sum | Línea: 29 | Columna: 17 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 29 | Columna: 20 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 30 | Columna: 6 | Tipo: reservada
Token: BOOLEAN | Valor: boolean | Línea: 31 | Columna: 6 | Tipo: reservada
Token: ID | Valor: isPrime | Línea: 31 | Columna: 14 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 31 | Columna: 21 | Tipo: reservada
Token: INT | Valor: int | Línea: 31 | Columna: 22 | Tipo: reservada
Token: ID | Valor: number | Línea: 31 | Columna: 26 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 31 | Columna: 32 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 31 | Columna: 34 | Tipo: reservada
Token: IF | Valor: if | Línea: 32 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 32 | Columna: 13 | Tipo: reservada
Token: ID | Valor: number | Línea: 32 | Columna: 14 | Tipo: no reservada
Token: LE | Valor: <= | Línea: 32 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 32 | Columna: 24 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 32 | Columna: 25 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 32 | Columna: 27 | Tipo: reservada
Token: RETURN | Valor: return | Línea: 33 | Columna: 14 | Tipo: reservada
Token: FALSE | Valor: false | Línea: 33 | Columna: 21 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 33 | Columna: 26 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 34 | Columna: 10 | Tipo: reservada
Token: FOR | Valor: for | Línea: 35 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 35 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 35 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 35 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 35 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 2 | Línea: 35 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 35 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 35 | Columna: 26 | Tipo: no reservada
Token: LT | Valor: < | Línea: 35 | Columna: 28 | Tipo: reservada
Token: ID | Valor: number | Línea: 35 | Columna: 30 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 35 | Columna: 36 | Tipo: reservada
Token: ID | Valor: i | Línea: 35 | Columna: 38 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 35 | Columna: 40 | Tipo: reservada
Token: ID | Valor: i | Línea: 35 | Columna: 42 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 35 | Columna: 44 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 35 | Columna: 46 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 35 | Columna: 47 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 35 | Columna: 49 | Tipo: reservada
Token: IF | Valor: if | Línea: 36 | Columna: 14 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 36 | Columna: 17 | Tipo: reservada
Token: ID | Valor: number | Línea: 36 | Columna: 18 | Tipo: no reservada
Token: MOD | Valor: % | Línea: 36 | Columna: 25 | Tipo: reservada
Token: ID | Valor: i | Línea: 36 | Columna: 27 | Tipo: no reservada
Token: EQ | Valor: == | Línea: 36 | Columna: 29 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 36 | Columna: 32 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 36 | Columna: 33 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 36 | Columna: 35 | Tipo: reservada
Token: RETURN | Valor: return | Línea: 37 | Columna: 18 | Tipo: reservada
Token: FALSE | Valor: false | Línea: 37 | Columna: 25 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 37 | Columna: 30 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 38 | Columna: 14 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 39 | Columna: 10 | Tipo: reservada
Token: RETURN | Valor: return | Línea: 40 | Columna: 10 | Tipo: reservada
Token: TRUE | Valor: true | Línea: 40 | Columna: 17 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 40 | Columna: 21 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 41 | Columna: 6 | Tipo: reservada
Token: VOID | Valor: void | Línea: 42 | Columna: 6 | Tipo: reservada
Token: ID | Valor: displayNumbers | Línea: 42 | Columna: 11 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 42 | Columna: 25 | Tipo: reservada
Token: RPAREN | Valor: ) | Línea: 42 | Columna: 26 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 42 | Columna: 28 | Tipo: reservada
Token: FOR | Valor: for | Línea: 43 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 43 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 43 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 43 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 43 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 43 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 43 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 43 | Columna: 26 | Tipo: no reservada
Token: LT | Valor: < | Línea: 43 | Columna: 28 | Tipo: reservada
Token: ID | Valor: size | Línea: 43 | Columna: 30 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 43 | Columna: 34 | Tipo: reservada
Token: ID | Valor: i | Línea: 43 | Columna: 36 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 43 | Columna: 38 | Tipo: reservada
Token: ID | Valor: i | Línea: 43 | Columna: 40 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 43 | Columna: 42 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 43 | Columna: 44 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 43 | Columna: 45 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 43 | Columna: 47 | Tipo: reservada
Token: CALLOUT | Valor: callout | Línea: 44 | Columna: 14 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 44 | Columna: 21 | Tipo: reservada
Token: STRING_LITERAL | Valor: "print" | Línea: 44 | Columna: 22 | Tipo: no reservada
Token: COMMA | Valor: , | Línea: 44 | Columna: 29 | Tipo: reservada
Token: ID | Valor: numbers | Línea: 44 | Columna: 31 | Tipo: no reservada
Token: LBRACKET | Valor: [ | Línea: 44 | Columna: 38 | Tipo: reservada
Token: ID | Valor: i | Línea: 44 | Columna: 39 | Tipo: no reservada
Token: RBRACKET | Valor: ] | Línea: 44 | Columna: 40 | Tipo: reservada
Token: COMMA | Valor: , | Línea: 44 | Columna: 41 | Tipo: reservada
Token: STRING_LITERAL | Valor: " " | Línea: 44 | Columna: 43 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 44 | Columna: 46 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 44 | Columna: 47 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 45 | Columna: 10 | Tipo: reservada
Token: CALLOUT | Valor: callout | Línea: 46 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 46 | Columna: 17 | Tipo: reservada
Token: STRING_LITERAL | Valor: "print" | Línea: 46 | Columna: 18 | Tipo: no reservada
Token: COMMA | Valor: , | Línea: 46 | Columna: 25 | Tipo: reservada
Token: STRING_LITERAL | Valor: "\n" | Línea: 46 | Columna: 27 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 46 | Columna: 31 | Tipo: reservada
Token: SEMI | Valor: ; | Línea: 46 | Columna: 32 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 47 | Columna: 6 | Tipo: reservada
Token: INT | Valor: int | Línea: 48 | Columna: 6 | Tipo: reservada
Token: ID | Valor: factorial | Línea: 48 | Columna: 10 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 48 | Columna: 19 | Tipo: reservada
Token: INT | Valor: int | Línea: 48 | Columna: 20 | Tipo: reservada
Token: ID | Valor: num | Línea: 48 | Columna: 24 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 48 | Columna: 27 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 48 | Columna: 29 | Tipo: reservada
Token: INT | Valor: int | Línea: 49 | Columna: 10 | Tipo: reservada
Token: ID | Valor: result | Línea: 49 | Columna: 14 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 49 | Columna: 20 | Tipo: reservada
Token: ID | Valor: result | Línea: 50 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 50 | Columna: 17 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 50 | Columna: 19 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 50 | Columna: 20 | Tipo: reservada
Token: FOR | Valor: for | Línea: 51 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 51 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 51 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 51 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 51 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 51 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 51 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 51 | Columna: 26 | Tipo: no reservada
Token: LE | Valor: <= | Línea: 51 | Columna: 28 | Tipo: reservada
Token: ID | Valor: num | Línea: 51 | Columna: 31 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 51 | Columna: 34 | Tipo: reservada
Token: ID | Valor: i | Línea: 51 | Columna: 36 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 51 | Columna: 38 | Tipo: reservada
Token: ID | Valor: i | Línea: 51 | Columna: 40 | Tipo: no reservada
Token: PLUS | Valor: + | Línea: 51 | Columna: 42 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 51 | Columna: 44 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 51 | Columna: 45 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 51 | Columna: 47 | Tipo: reservada
Token: ID | Valor: result | Línea: 52 | Columna: 14 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 52 | Columna: 21 | Tipo: reservada
Token: ID | Valor: result | Línea: 52 | Columna: 23 | Tipo: no reservada
Token: TIMES | Valor: * | Línea: 52 | Columna: 30 | Tipo: reservada
Token: ID | Valor: i | Línea: 52 | Columna: 32 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 52 | Columna: 33 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 53 | Columna: 10 | Tipo: reservada
Token: RETURN | Valor: return | Línea: 54 | Columna: 10 | Tipo: reservada
Token: ID | Valor: result | Línea: 54 | Columna: 17 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 54 | Columna: 23 | Tipo: reservada
Token: RBRACE | Valor: } | Línea: 55 | Columna: 6 | Tipo: reservada
Token: VOID | Valor: void | Línea: 56 | Columna: 6 | Tipo: reservada
Token: ID | Valor: generateFibonacci | Línea: 56 | Columna: 11 | Tipo: no reservada
Token: LPAREN | Valor: ( | Línea: 56 | Columna: 28 | Tipo: reservada
Token: INT | Valor: int | Línea: 56 | Columna: 29 | Tipo: reservada
Token: ID | Valor: limit | Línea: 56 | Columna: 33 | Tipo: no reservada
Token: RPAREN | Valor: ) | Línea: 56 | Columna: 38 | Tipo: reservada
Token: LBRACE | Valor: { | Línea: 56 | Columna: 40 | Tipo: reservada
Token: INT | Valor: int | Línea: 57 | Columna: 10 | Tipo: reservada
Token: ID | Valor: first | Línea: 57 | Columna: 14 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 57 | Columna: 19 | Tipo: reservada
Token: INT | Valor: int | Línea: 58 | Columna: 10 | Tipo: reservada
Token: ID | Valor: second | Línea: 58 | Columna: 14 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 58 | Columna: 20 | Tipo: reservada
Token: INT | Valor: int | Línea: 59 | Columna: 10 | Tipo: reservada
Token: ID | Valor: next | Línea: 59 | Columna: 14 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 59 | Columna: 18 | Tipo: reservada
Token: ID | Valor: first | Línea: 60 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 60 | Columna: 16 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 60 | Columna: 18 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 60 | Columna: 19 | Tipo: reservada
Token: ID | Valor: second | Línea: 61 | Columna: 10 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 61 | Columna: 17 | Tipo: reservada
Token: INT_LITERAL | Valor: 1 | Línea: 61 | Columna: 19 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 61 | Columna: 20 | Tipo: reservada
Token: FOR | Valor: for | Línea: 62 | Columna: 10 | Tipo: reservada
Token: LPAREN | Valor: ( | Línea: 62 | Columna: 14 | Tipo: reservada
Token: INT | Valor: int | Línea: 62 | Columna: 15 | Tipo: reservada
Token: ID | Valor: i | Línea: 62 | Columna: 19 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 62 | Columna: 21 | Tipo: reservada
Token: INT_LITERAL | Valor: 0 | Línea: 62 | Columna: 23 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 62 | Columna: 24 | Tipo: reservada
Token: ID | Valor: i | Línea: 62 | Columna: 26 | Tipo: no reservada
Token: LT | Valor: < | Línea: 62 | Columna: 28 | Tipo: reservada
Token: ID | Valor: limit | Línea: 62 | Columna: 30 | Tipo: no reservada
Token: SEMI | Valor: ; | Línea: 62 | Columna: 35 | Tipo: reservada
Token: ID | Valor: i | Línea: 62 | Columna: 37 | Tipo: no reservada
Token: ASSIGN | Valor: = | Línea: 62 | Columna: 39 | Tipo: reservada
Token: ID | Valor: i | Línea: 62 | Columna: 41 | Tipo: no reservada
